Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  10  AS: 50 Step  1 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  2 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  3 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  4 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  5 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  6 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  7 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  8 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  9 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  10 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  11 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  12 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  13 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  14 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  15 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  16 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  17 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  18 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  19 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  20 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  21 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  22 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
