Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  100  AS: 50 Step  1 ; sS:  1682  avg  16.82 ; cS:  6167  avg  61.67 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 32
Nodes num:  100  AS: 50 Step  2 ; sS:  1995  avg  19.95 ; cS:  2909  avg  29.09 ; tC  142  avg  1.42 ; avgNs:  2.72 ; Done: 67
Nodes num:  100  AS: 50 Step  3 ; sS:  2048  avg  20.48 ; cS:  2406  avg  24.06 ; tC  92  avg  0.92 ; avgNs:  2.72 ; Done: 70
Nodes num:  100  AS: 50 Step  4 ; sS:  2965  avg  29.65 ; cS:  1287  avg  12.87 ; tC  2784  avg  27.84 ; avgNs:  2.72 ; Done: 81
Nodes num:  100  AS: 50 Step  5 ; sS:  2303  avg  23.03 ; cS:  184  avg  1.84 ; tC  172  avg  1.72 ; avgNs:  2.72 ; Done: 92
Nodes num:  100  AS: 50 Step  6 ; sS:  2496  avg  24.96 ; cS:  103  avg  1.03 ; tC  228  avg  2.28 ; avgNs:  2.72 ; Done: 97
Nodes num:  100  AS: 50 Step  7 ; sS:  2449  avg  24.49 ; cS:  6  avg  0.06 ; tC  4  avg  0.04 ; avgNs:  2.72 ; Done: 94
Nodes num:  100  AS: 50 Step  8 ; sS:  2446  avg  24.46 ; cS:  0  avg  0.0 ; tC  2  avg  0.02 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  9 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  10 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  11 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  12 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  13 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  14 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  15 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  16 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  17 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  18 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
