Nodes num:  100  AS: 50 Step  1 ; sS:  1227  avg  12.27 ; cS:  7801  avg  78.01 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 14
Nodes num:  100  AS: 50 Step  2 ; sS:  1841  avg  18.41 ; cS:  4637  avg  46.37 ; tC  272  avg  2.72 ; avgNs:  2.74 ; Done: 48
Nodes num:  100  AS: 50 Step  3 ; sS:  1968  avg  19.68 ; cS:  4254  avg  42.54 ; tC  276  avg  2.76 ; avgNs:  2.74 ; Done: 46
Nodes num:  100  AS: 50 Step  4 ; sS:  4930  avg  49.3 ; cS:  671  avg  6.71 ; tC  8660  avg  86.6 ; avgNs:  2.74 ; Done: 90
Nodes num:  100  AS: 50 Step  5 ; sS:  2515  avg  25.15 ; cS:  1  avg  0.01 ; tC  574  avg  5.74 ; avgNs:  2.74 ; Done: 99
Nodes num:  100  AS: 50 Step  6 ; sS:  2776  avg  27.76 ; cS:  184  avg  1.84 ; tC  388  avg  3.88 ; avgNs:  2.74 ; Done: 90
Nodes num:  100  AS: 50 Step  7 ; sS:  2652  avg  26.52 ; cS:  5  avg  0.05 ; tC  70  avg  0.7 ; avgNs:  2.74 ; Done: 95
Nodes num:  100  AS: 50 Step  8 ; sS:  2633  avg  26.33 ; cS:  6  avg  0.06 ; tC  4  avg  0.04 ; avgNs:  2.74 ; Done: 99
Nodes num:  100  AS: 50 Step  9 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  10 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  11 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  12 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  13 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  14 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  15 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  16 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  17 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  18 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  19 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  20 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  21 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  22 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
